О моём перерождении в слизь;https://readmanga.me/o_moem_pererojdenii_v_sliz;https://static.readmanga.me/uploads/pics/01/00/969_p.jpg;['комедия', 'героическое фэнтези', 'драма']
Перерождение: Монстр;https://readmanga.me/reincarnated__monster;https://static.readmanga.me/uploads/pics/01/04/446_p.jpg;['драма', 'гарем', 'фэнтези']
Неудержимая юность;https://readmanga.me/blue_spring_ride;https://static.readmanga.me/uploads/pics/00/15/106_p.jpg;['Сакисака Ио', 'комедия', 'драма', 'школа']
Апельсиновый мармелад;https://readmanga.me/orange_marmalade;https://static.readmanga.me/uploads/pics/00/19/218_p.jpg;['Кан Сок У', 'комедия', 'сёдзё', 'повседневность']
Учитель мафиози Реборн;https://readmanga.me/home_tutor_hitman_reborn;https://static.readmanga.me/uploads/pics/00/25/915_p.jpg;['Амано Акира', 'комедия', 'сверхъестественное', 'драма']
Чёрный Клевер;https://readmanga.me/chernyi_klever;https://static.readmanga.me/uploads/pics/00/52/275_p.jpg;['Табата Юки', 'комедия', 'драма', 'сёнэн']
Ты здесь;https://readmanga.me/you_re_here;https://static.readmanga.me/uploads/pics/01/37/246_p.jpg;['Ди. Цзюнь', 'сёнэн-ай', 'школа', 'романтика']
Д.Грэй-мен;https://readmanga.me/d_gray_man;https://static.readmanga.me/uploads/pics/01/31/816_p.jpg;['Хосино Кацура', 'комедия', 'трагедия', 'сверхъестественное']
Четыре рыцаря;https://readmanga.me/cartoon_hero;https://static.readmanga.me/uploads/pics/00/49/313_p.jpg;['Кочжирагун', 'комедия', 'боевые искусства', 'этти']
Техника Бога звёздных боевых искусств;https://readmanga.me/star_martial_god_technique;https://static.readmanga.me/uploads/pics/01/19/056_p.jpg;['комедия', 'боевые искусства', 'героическое фэнтези']
Песнь песка и моря: наложница фараона;https://readmanga.me/pharaoh_s_concubine;https://static.readmanga.me/uploads/pics/01/21/375_p.jpg;['дзёсэй', 'фэнтези', 'история']
